ModelNickname,Estimator,Xvars,HyperParams,Scaler,Tuned,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,integration,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Name,Region,Type
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs', 'random_state': 20}",scale,True,1,26,1589.7252870209418,0.9880646615226738,1161.3666845143807,-0.09933214840394466,20.163363156904865,-832.6299999999997,685.2187204725365,1.9754266918676788,428.18326639399777,0.21072239035561935,13,rmse,703.2372221023174,,,,1951.0318903995362,0.5259767303521354,1768.3927580994107,-1.3848863671495022,False,Albany-organic,Albany,organic
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{},scale,True,1,26,1574.6173045846072,1.0499095206032658,1162.0568553688977,-0.07853639151296532,101.93244087217386,-832.6299999999997,726.0942039420559,3.0320433774438484,465.2262524849818,0.11374788682284398,13,rmse,773.7497532567065,,,,2219.9042642902486,0.5978706824125412,1977.1465769819513,-2.0875034074271013,False,Albany-organic,Albany,organic
prophet,prophet,,{'n_changepoints': 3},,True,1,26,1529.0783783879833,1.036637201959982,1139.9594567535337,-0.017054576258927368,160.4891384301635,-832.6299999999997,759.3173106406024,1.9086297349969668,493.683613574917,0.030789868191152592,13,rmse,827.6349912583933,True,,,2289.1428447976486,0.6147736249399605,2012.9323932868194,-2.283104773243244,False,Albany-organic,Albany,organic
knn,knn,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'n_neighbors': 4, 'weights': 'distance'}",minmax,True,1,26,1530.9910754520804,1.1751960839647,1141.2328851028774,-0.019600598766380983,79.7050001948939,-832.6299999999997,0.0,0.0,0.0,1.0,13,rmse,768.6183980322623,,,,4554.43269117957,1.226525611867457,4184.432036874424,-11.995935011973662,False,Albany-organic,Albany,organic
weighted,combo,,"{'how': 'weighted', 'models': ('mlr', 'knn', 'xgboost', 'gbt', 'elasticnet', 'mlp', 'prophet'), 'determine_best_by': 'ValidationMetricValue'}",,False,1,26,3670.9213599325017,7.309877760597458,3386.7904326880785,-4.861853031230851,3708.613404913141,-832.6299999999997,336.07695432237205,0.8843539824471439,229.5292862872709,0.8101332968916621,,,,,"['mlp', 'knn', 'mlr', 'elasticnet', 'xgboost', 'prophet', 'gbt']",,51011.75238375779,12.387022808615693,44793.46054366231,-1629.3447168984767,False,Albany-organic,Albany,organic
avg,combo,,"{'how': 'simple', 'models': 'top_5', 'determine_best_by': 'ValidationMetricValue'}",,False,1,26,5836.015235521273,12.33073785399268,5622.678848885191,-13.815543830463193,5711.944433596014,-832.6299999999997,419.3842496186559,1.150537688588237,266.63227248059707,0.7043379553922068,,,,,"['mlp', 'knn', 'mlr', 'elasticnet', 'xgboost']",,87113.10227405412,21.066756948333797,76423.49193119298,-4753.511639288319,False,Albany-organic,Albany,organic
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'alpha': 3.3, 'l1_ratio': 1.0}",minmax,True,1,26,27881.745041296537,60.65823830432003,27840.47796905059,-337.16189364232844,27797.686500474847,-832.6299999999997,727.6103669056008,2.1489548809249204,466.1965767441784,0.1100428427086646,13,rmse,792.0357929675235,,,,430186.8808206601,103.40576164334782,376329.7525474836,-115944.33461775443,False,Albany-organic,Albany,organic
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs', 'random_state': 20}",minmax,True,1,26,118486.95888348015,1.068064188097258,81511.21434541725,-0.0049603490295566655,141.6059123876607,-105804.2699999999,92549.11749509336,6.408192271395622,71264.52533590086,0.17141371668666994,13,rmse,44962.02717551042,,,,200609.73404580305,0.23790359951871548,154673.0524796744,-1.387542602586259,True,Atlanta-conventional,Atlanta,conventional
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'alpha': 0.7, 'l1_ratio': 0.75}",scale,True,1,26,122830.5697884612,2.3229355583292493,85629.39335224817,-0.07999253597866862,-8032.527512560597,-105804.2699999999,92682.63882190824,4.1832513290000275,72814.55978831467,0.1690211763979006,13,rmse,39070.75632767666,,,,206381.4519077038,0.25265740859472857,162469.54660051534,-1.5269023090124696,False,Atlanta-conventional,Atlanta,conventional
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{},,True,1,26,122399.65495572738,8.841480244940369,81941.07436119227,-0.07242815732076857,-26767.792366981506,-105804.2699999999,82060.0165745625,2.576408868213979,60250.49675232478,0.3485870672797594,13,rmse,50340.60880400896,,,,209909.14686300207,0.26232662850087646,167341.0255698153,-1.6140256964072734,False,Atlanta-conventional,Atlanta,conventional
